Biomes,Quintiles,percent
Tropical moist forests,5,42.82982792
Tropical grasslands,5,54.36893204
Mediterranean forests,5,20.88888889
Temperate forests,5,25.10822511
Tropical moist forests,4,20.7456979
Tropical grasslands,4,16.50485437
Mediterranean forests,4,17.77777778
Temperate forests,4,14.14141414
Tropical moist forests,3,17.87762906
Tropical grasslands,3,9.708737864
Mediterranean forests,3,16.88888889
Temperate forests,3,23.37662338
Tropical moist forests,2,13.38432122
Tropical grasslands,2,9.708737864
Mediterranean forests,2,28.88888889
Temperate forests,2,20.2020202
Tropical moist forests,1,5.162523901
Tropical grasslands,1,9.708737864
Mediterranean forests,1,15.55555556
Temperate forests,1,17.17171717